dtype,op,chains,time
float,+,1,1.35986
double,+,1,1.14619
int32_t,+,1,0.28676
int64_t,+,1,0.286769
float,+,2,0.573005
double,+,2,0.573018
int32_t,+,2,0.286568
int64_t,+,2,0.286551
float,+,4,0.286505
double,+,4,0.286527
int32_t,+,4,0.206253
int64_t,+,4,0.206393
float,+,8,0.16827
double,+,8,0.168304
int32_t,+,8,0.104109
int64_t,+,8,0.104108
float,+,12,0.143282
double,+,12,0.143268
int32_t,+,12,0.0966101
int64_t,+,12,0.0971036
float,+,16,0.161182
double,+,16,0.161171
int32_t,+,16,0.150142
int64_t,+,16,0.173952
float,+,20,0.179076
double,+,20,0.179092
int32_t,+,20,0.138805
int64_t,+,20,0.138918
float,+,24,0.196987
double,+,24,0.196994
int32_t,+,24,0.15123
int64_t,+,24,0.14985
float,+,32,0.189195
double,+,32,0.188024
int32_t,+,32,0.155358
int64_t,+,32,0.153329
float,+,40,0.179096
double,+,40,0.179085
int32_t,+,40,0.151507
int64_t,+,40,0.186479
float,+,64,0.158783
double,+,64,0.159115
int32_t,+,64,0.15307
int64_t,+,64,0.15246
float,*,1,1.14612
double,*,1,1.1462
int32_t,*,1,0.85953
int64_t,*,1,0.859605
float,*,2,0.573131
double,*,2,0.573106
int32_t,*,2,0.429753
int64_t,*,2,0.429769
float,*,4,0.286561
double,*,4,0.286514
int32_t,*,4,0.286545
int64_t,*,4,0.286461
float,*,8,0.163391
double,*,8,0.168722
int32_t,*,8,0.286492
int64_t,*,8,0.286562
float,*,12,0.143245
double,*,12,0.143231
int32_t,*,12,0.286491
int64_t,*,12,0.286564
float,*,16,0.161142
double,*,16,0.161173
int32_t,*,16,0.286557
int64_t,*,16,0.286546
float,*,20,0.179081
double,*,20,0.179088
int32_t,*,20,0.286525
int64_t,*,20,0.286545
float,*,24,0.196982
double,*,24,0.196994
int32_t,*,24,0.286484
int64_t,*,24,0.286467
float,*,32,0.188014
double,*,32,0.188057
int32_t,*,32,0.286546
int64_t,*,32,0.286498
float,*,40,0.179098
double,*,40,0.17907
int32_t,*,40,0.286514
int64_t,*,40,0.286533
float,*,64,0.158671
double,*,64,0.159224
int32_t,*,64,0.286571
int64_t,*,64,0.286512
float,/,1,3.1518
double,/,1,3.72471
int32_t,/,1,3.72473
int64_t,/,1,4.29797
float,/,2,1.57587
double,/,2,1.86228
int32_t,/,2,1.71914
int64_t,/,2,2.14875
float,/,4,0.859586
double,/,4,1.14604
int32_t,/,4,1.71914
int64_t,/,4,2.86506
float,/,8,0.859566
double,/,8,1.1461
int32_t,/,8,1.71909
int64_t,/,8,2.86532
float,/,12,0.859598
double,/,12,1.146
int32_t,/,12,1.71916
int64_t,/,12,2.865
float,/,16,0.85956
double,/,16,1.15852
int32_t,/,16,1.71904
int64_t,/,16,2.86539
float,/,20,0.859587
double,/,20,1.17431
int32_t,/,20,1.71914
int64_t,/,20,2.86511
float,/,24,0.859525
double,/,24,1.18075
int32_t,/,24,1.7192
int64_t,/,24,2.86516
float,/,32,0.859595
double,/,32,1.17949
int32_t,/,32,1.71905
int64_t,/,32,2.86561
float,/,40,0.859549
double,/,40,1.16867
int32_t,/,40,1.71913
int64_t,/,40,2.86516
float,/,64,0.85957
double,/,64,1.15275
int32_t,/,64,1.71905
int64_t,/,64,2.86533
